employee_id	first_name	last_name	email	phone_number	job_id	salary	commission_pct	manager_id	department_id	hiredate
100	Steven	K_ing	SKING	515.123.4567	AD_PRES	24000.00	\N	\N	90	1992-04-03 00:00:00
101	Neena	Kochhar	NKOCHHAR	515.123.4568	AD_VP	17000.00	\N	100	90	1992-04-03 00:00:00
102	Lex	De Haan	LDEHAAN	515.123.4569	AD_VP	17000.00	\N	100	90	1992-04-03 00:00:00
103	Alexander	Hunold	AHUNOLD	590.423.4567	IT_PROG	9000.00	\N	102	60	1992-04-03 00:00:00
104	Bruce	Ernst	BERNST	590.423.4568	IT_PROG	6000.00	\N	103	60	1992-04-03 00:00:00
105	David	Austin	DAUSTIN	590.423.4569	IT_PROG	4800.00	\N	103	60	1998-03-03 00:00:00
106	Valli	Pataballa	VPATABAL	590.423.4560	IT_PROG	4800.00	\N	103	60	1998-03-03 00:00:00
107	Diana	Lorentz	DLORENTZ	590.423.5567	IT_PROG	4200.00	\N	103	60	1998-03-03 00:00:00
108	Nancy	Greenberg	NGREENBE	515.124.4569	FI_MGR	12000.00	\N	101	100	1998-03-03 00:00:00
109	Daniel	Faviet	DFAVIET	515.124.4169	FI_ACCOUNT	9000.00	\N	108	100	1998-03-03 00:00:00
110	John	Chen	JCHEN	515.124.4269	FI_ACCOUNT	8200.00	\N	108	100	2000-09-09 00:00:00
111	Ismael	Sciarra	ISCIARRA	515.124.4369	FI_ACCOUNT	7700.00	\N	108	100	2000-09-09 00:00:00
112	Jose Manuel	Urman	JMURMAN	515.124.4469	FI_ACCOUNT	7800.00	\N	108	100	2000-09-09 00:00:00
113	Luis	Popp	LPOPP	515.124.4567	FI_ACCOUNT	6900.00	\N	108	100	2000-09-09 00:00:00
114	Den	Raphaely	DRAPHEAL	515.127.4561	PU_MAN	11000.00	\N	100	30	2000-09-09 00:00:00
115	Alexander	Khoo	AKHOO	515.127.4562	PU_CLERK	3100.00	\N	114	30	2000-09-09 00:00:00
116	Shelli	Baida	SBAIDA	515.127.4563	PU_CLERK	2900.00	\N	114	30	2000-09-09 00:00:00
117	Sigal	Tobias	STOBIAS	515.127.4564	PU_CLERK	2800.00	\N	114	30	2000-09-09 00:00:00
118	Guy	Himuro	GHIMURO	515.127.4565	PU_CLERK	2600.00	\N	114	30	2000-09-09 00:00:00
119	Karen	Colmenares	KCOLMENA	515.127.4566	PU_CLERK	2500.00	\N	114	30	2000-09-09 00:00:00
120	Matthew	Weiss	MWEISS	650.123.1234	ST_MAN	8000.00	\N	100	50	2004-02-06 00:00:00
121	Adam	Fripp	AFRIPP	650.123.2234	ST_MAN	8200.00	\N	100	50	2004-02-06 00:00:00
122	Payam	Kaufling	PKAUFLIN	650.123.3234	ST_MAN	7900.00	\N	100	50	2004-02-06 00:00:00
123	Shanta	Vollman	SVOLLMAN	650.123.4234	ST_MAN	6500.00	\N	100	50	2004-02-06 00:00:00
124	Kevin	Mourgos	KMOURGOS	650.123.5234	ST_MAN	5800.00	\N	100	50	2004-02-06 00:00:00
125	Julia	Nayer	JNAYER	650.124.1214	ST_CLERK	3200.00	\N	120	50	2004-02-06 00:00:00
126	Irene	Mikkilineni	IMIKKILI	650.124.1224	ST_CLERK	2700.00	\N	120	50	2004-02-06 00:00:00
127	James	Landry	JLANDRY	650.124.1334	ST_CLERK	2400.00	\N	120	50	2004-02-06 00:00:00
128	Steven	Markle	SMARKLE	650.124.1434	ST_CLERK	2200.00	\N	120	50	2004-02-06 00:00:00
129	Laura	Bissot	LBISSOT	650.124.5234	ST_CLERK	3300.00	\N	121	50	2004-02-06 00:00:00
